Symbol,Date,Close
BCE,03/03/2014,43.43
BCE,04/03/2014,43.42
BCE,05/03/2014,43.77
BCE,06/03/2014,43.97
BCE,07/03/2014,43.63
BCE,10/03/2014,43.64
BCE,11/03/2014,43.51
BCE,12/03/2014,42.71
BCE,13/03/2014,42.58
BCE,14/03/2014,42.22
BCE,17/03/2014,42.59
BCE,18/03/2014,42.9
BCE,19/03/2014,42.64
BCE,20/03/2014,42.7
BCE,21/03/2014,42.55
BCE,24/03/2014,42.35
BCE,25/03/2014,42.26
BCE,26/03/2014,42.34
BCE,27/03/2014,42.66
BCE,28/03/2014,42.93
BCE,31/03/2014,43.14
BCE,01/04/2014,43.39
BCE,02/04/2014,43.57
BCE,03/04/2014,43.18
BCE,04/04/2014,43.55
BCE,07/04/2014,43.76
BCE,08/04/2014,44.12
BCE,09/04/2014,44.33
BCE,10/04/2014,43.99
BCE,11/04/2014,43.87
BCE,14/04/2014,44.02
BCE,15/04/2014,44.13
BCE,16/04/2014,44.23
BCE,17/04/2014,44.46
BCE,21/04/2014,44.28
BCE,22/04/2014,44.13
BCE,23/04/2014,44.04
BCE,24/04/2014,43.99
BCE,25/04/2014,43.93
BCE,28/04/2014,43.83
BCE,29/04/2014,43.98
BCE,30/04/2014,44.54
BCE,01/05/2014,44.65
BCE,02/05/2014,44.5
BCE,05/05/2014,44.65
BCE,06/05/2014,44.58
BCE,07/05/2014,44.94
BCE,08/05/2014,45.26
BCE,09/05/2014,44.98
BCE,12/05/2014,45.35
BCE,13/05/2014,45.46
BCE,14/05/2014,45.62
BCE,15/05/2014,45.84
BCE,16/05/2014,45.86
BCE,19/05/2014,45.8
BCE,20/05/2014,45.65
BCE,21/05/2014,45.84
BCE,22/05/2014,46.22
BCE,23/05/2014,46.11
BCE,27/05/2014,45.86
BCE,28/05/2014,45.75
BCE,29/05/2014,45.62
BCE,30/05/2014,45.93
BCE,02/06/2014,46.16
BCE,03/06/2014,46.3
BCE,04/06/2014,46.6
BCE,05/06/2014,46.42
BCE,06/06/2014,46.13
BCE,09/06/2014,46.27
BCE,10/06/2014,46.29
BCE,11/06/2014,46.25
BCE,12/06/2014,45.49
BCE,13/06/2014,45.57
BCE,16/06/2014,45.74
BCE,17/06/2014,45.63
BCE,18/06/2014,45.78
BCE,19/06/2014,45.63
BCE,20/06/2014,45.54
BCE,23/06/2014,45.26
BCE,24/06/2014,44.98
BCE,25/06/2014,44.98
BCE,26/06/2014,45.05
BCE,27/06/2014,45.53
BCE,30/06/2014,45.36
BCE,01/07/2014,45.61
BCE,02/07/2014,45.2
BCE,03/07/2014,45.6
BCE,07/07/2014,45.15
BCE,08/07/2014,44.88
BCE,09/07/2014,45.29
BCE,10/07/2014,45.47
BCE,11/07/2014,45.48
BCE,14/07/2014,45.69
BCE,15/07/2014,44.98
BCE,16/07/2014,45.49
BCE,17/07/2014,45.36
BCE,18/07/2014,45.51
BCE,21/07/2014,45.35
BCE,22/07/2014,45.68
BCE,23/07/2014,46.41
BCE,24/07/2014,46.16
BCE,25/07/2014,45.61
BCE,28/07/2014,45.8
BCE,29/07/2014,45.72
BCE,30/07/2014,45.63
BCE,31/07/2014,45.28
BCE,01/08/2014,44.93
BCE,04/08/2014,45
BCE,05/08/2014,44.98
BCE,06/08/2014,44.77
BCE,07/08/2014,44.46
BCE,08/08/2014,43.95
BCE,11/08/2014,44.34
BCE,12/08/2014,44.27
BCE,13/08/2014,44.16
BCE,14/08/2014,44.52
BCE,15/08/2014,44.33
BCE,18/08/2014,44.28
BCE,19/08/2014,44.26
BCE,20/08/2014,44.3
BCE,21/08/2014,44.42
BCE,22/08/2014,44.4
BCE,25/08/2014,44.38
BCE,26/08/2014,44.56
BCE,27/08/2014,45.02
BCE,28/08/2014,45.06
BCE,29/08/2014,45.02
BCE,02/09/2014,45.02
BCE,03/09/2014,45.27
BCE,04/09/2014,45.31
BCE,05/09/2014,45.25
BCE,08/09/2014,44.82
BCE,09/09/2014,44.91
BCE,10/09/2014,45.11
BCE,11/09/2014,43.91
BCE,12/09/2014,43.6
BCE,15/09/2014,43.68
BCE,16/09/2014,43.86
BCE,17/09/2014,43.55
BCE,18/09/2014,43.92
BCE,19/09/2014,43.34
BCE,22/09/2014,43.22
BCE,23/09/2014,43.19
BCE,24/09/2014,43.44
BCE,25/09/2014,42.62
BCE,26/09/2014,42.82
BCE,29/09/2014,43.03
BCE,30/09/2014,42.76
BCE,01/10/2014,42.81
BCE,02/10/2014,43.14
BCE,03/10/2014,42.86
BCE,06/10/2014,43.41
BCE,07/10/2014,42.94
BCE,08/10/2014,43.35
BCE,09/10/2014,43.14
BCE,10/10/2014,42.52
BCE,13/10/2014,42.45
BCE,14/10/2014,42.24
BCE,15/10/2014,41.9
BCE,16/10/2014,41.93
BCE,17/10/2014,41.97
BCE,20/10/2014,42.47
BCE,21/10/2014,42.96
BCE,22/10/2014,42.78
BCE,23/10/2014,42.98
BCE,24/10/2014,43.28
BCE,27/10/2014,43.68
BCE,28/10/2014,44.13
BCE,29/10/2014,44.03
BCE,30/10/2014,44.42
BCE,31/10/2014,44.47
BCE,03/11/2014,44.17
BCE,04/11/2014,44.74
BCE,05/11/2014,44.87
BCE,06/11/2014,44.57
BCE,07/11/2014,44.98
BCE,10/11/2014,45.48
BCE,11/11/2014,45.79
BCE,12/11/2014,46.15
BCE,13/11/2014,46.37
BCE,14/11/2014,46.87
BCE,17/11/2014,47.34
BCE,18/11/2014,47.98
BCE,19/11/2014,47.63
BCE,20/11/2014,47.04
BCE,21/11/2014,47.43
BCE,24/11/2014,46.9
BCE,25/11/2014,46.84
BCE,26/11/2014,47.04
BCE,28/11/2014,46.92
BCE,01/12/2014,46.95
BCE,02/12/2014,46.28
BCE,03/12/2014,46.41
BCE,04/12/2014,45.75
BCE,05/12/2014,45.65
BCE,08/12/2014,45.35
BCE,09/12/2014,45.6
BCE,10/12/2014,44.86
BCE,11/12/2014,45.28
BCE,12/12/2014,44.61
BCE,15/12/2014,44.39
BCE,16/12/2014,45.01
BCE,17/12/2014,45.17
BCE,18/12/2014,45.65
BCE,19/12/2014,45.82
BCE,22/12/2014,45.79
BCE,23/12/2014,45.93
BCE,24/12/2014,45.95
BCE,26/12/2014,46.28
BCE,29/12/2014,46.19
BCE,30/12/2014,46.05
BCE,31/12/2014,45.86
BCE,02/01/2015,45.72
BCE,05/01/2015,45.16
BCE,06/01/2015,45.25
BCE,07/01/2015,46.01
BCE,08/01/2015,46.32
BCE,09/01/2015,45.78
BCE,12/01/2015,45.82
BCE,13/01/2015,46.25
BCE,14/01/2015,46.15
BCE,15/01/2015,46.11
BCE,16/01/2015,47.53
BCE,20/01/2015,47.42
BCE,21/01/2015,46.66
BCE,22/01/2015,47.29
BCE,23/01/2015,47.15
BCE,26/01/2015,46.43
BCE,27/01/2015,46.54
BCE,28/01/2015,46.25
BCE,29/01/2015,46.25
BCE,30/01/2015,45.95
BCE,02/02/2015,46.49
BCE,03/02/2015,46.69
BCE,04/02/2015,46.81
BCE,05/02/2015,47.42
BCE,06/02/2015,45.3
BCE,09/02/2015,43.99
BCE,10/02/2015,44.32
