Symbol,Date,Close
BNS,02/01/2014,61.98
BNS,03/01/2014,61.5
BNS,06/01/2014,60.75
BNS,07/01/2014,59.89
BNS,08/01/2014,59.63
BNS,09/01/2014,59.45
BNS,10/01/2014,59.1
BNS,13/01/2014,59.2
BNS,14/01/2014,58.23
BNS,15/01/2014,58.22
BNS,16/01/2014,58.22
BNS,17/01/2014,58.19
BNS,21/01/2014,59.01
BNS,22/01/2014,58.28
BNS,23/01/2014,57.9
BNS,24/01/2014,56.89
BNS,27/01/2014,55.5
BNS,28/01/2014,55.5
BNS,29/01/2014,54.89
BNS,30/01/2014,55.31
BNS,31/01/2014,54.84
BNS,03/02/2014,54.51
BNS,04/02/2014,54.36
BNS,05/02/2014,54.96
BNS,06/02/2014,56.03
BNS,07/02/2014,55.92
BNS,10/02/2014,55.82
BNS,11/02/2014,56.32
BNS,12/02/2014,56.67
BNS,13/02/2014,57.53
BNS,14/02/2014,57.62
BNS,18/02/2014,57.86
BNS,19/02/2014,57.46
BNS,20/02/2014,57.56
BNS,21/02/2014,56.9
BNS,24/02/2014,57.38
BNS,25/02/2014,57.25
BNS,26/02/2014,56.99
BNS,27/02/2014,57.11
BNS,28/02/2014,57.23
BNS,03/03/2014,56.87
BNS,04/03/2014,56.88
BNS,05/03/2014,57.68
BNS,06/03/2014,58.02
BNS,07/03/2014,57.36
BNS,10/03/2014,57.69
BNS,11/03/2014,58.35
BNS,12/03/2014,58.59
BNS,13/03/2014,58.43
BNS,14/03/2014,57.98
BNS,17/03/2014,58.27
BNS,18/03/2014,58.23
BNS,19/03/2014,57.48
BNS,20/03/2014,57.63
BNS,21/03/2014,57.95
BNS,24/03/2014,58
BNS,25/03/2014,58.13
BNS,26/03/2014,58.31
BNS,27/03/2014,58.21
BNS,28/03/2014,57.54
BNS,31/03/2014,58.02
BNS,01/04/2014,58.68
BNS,02/04/2014,58.77
BNS,03/04/2014,58.76
BNS,04/04/2014,59.09
BNS,07/04/2014,58.87
BNS,08/04/2014,59.4
BNS,09/04/2014,59.68
BNS,10/04/2014,58.75
BNS,11/04/2014,58.51
BNS,14/04/2014,58.74
BNS,15/04/2014,58.88
BNS,16/04/2014,59.12
BNS,17/04/2014,59.42
BNS,21/04/2014,59.4
BNS,22/04/2014,59.35
BNS,23/04/2014,59.26
BNS,24/04/2014,59.45
BNS,25/04/2014,59.3
BNS,28/04/2014,59.51
BNS,29/04/2014,60.23
BNS,30/04/2014,60.78
BNS,01/05/2014,60.76
BNS,02/05/2014,60.92
BNS,05/05/2014,60.73
BNS,06/05/2014,61.07
BNS,07/05/2014,61.08
BNS,08/05/2014,61.65
BNS,09/05/2014,61.27
BNS,12/05/2014,61.43
BNS,13/05/2014,61.38
BNS,14/05/2014,61.5
BNS,15/05/2014,62.02
BNS,16/05/2014,61.73
BNS,19/05/2014,61.89
BNS,20/05/2014,61.68
BNS,21/05/2014,61.9
BNS,22/05/2014,62.33
BNS,23/05/2014,62.51
BNS,27/05/2014,63.33
BNS,28/05/2014,63.27
BNS,29/05/2014,63.83
BNS,30/05/2014,64.2
BNS,02/06/2014,64
BNS,03/06/2014,64.36
BNS,04/06/2014,64.4
BNS,05/06/2014,64.21
BNS,06/06/2014,64.47
BNS,09/06/2014,64.84
BNS,10/06/2014,64.95
BNS,11/06/2014,64.93
BNS,12/06/2014,64.89
BNS,13/06/2014,64.96
BNS,16/06/2014,65.56
BNS,17/06/2014,65.36
BNS,18/06/2014,65.65
BNS,19/06/2014,65.33
BNS,20/06/2014,66
BNS,23/06/2014,66.42
BNS,24/06/2014,66.27
BNS,25/06/2014,66.15
BNS,26/06/2014,66.79
BNS,27/06/2014,67.39
BNS,30/06/2014,66.6
BNS,01/07/2014,67.08
BNS,02/07/2014,66.97
BNS,03/07/2014,67.51
BNS,07/07/2014,67.67
BNS,08/07/2014,67.35
BNS,09/07/2014,67.67
BNS,10/07/2014,67.66
BNS,11/07/2014,67.11
BNS,14/07/2014,67.64
BNS,15/07/2014,67.66
BNS,16/07/2014,68.13
BNS,17/07/2014,67.74
BNS,18/07/2014,67.99
BNS,21/07/2014,67.87
BNS,22/07/2014,68.3
BNS,23/07/2014,68.09
BNS,24/07/2014,68.2
BNS,25/07/2014,68.02
BNS,28/07/2014,68.33
BNS,29/07/2014,68.01
BNS,30/07/2014,68.24
BNS,31/07/2014,67.9
BNS,01/08/2014,67.24
BNS,04/08/2014,67.66
BNS,05/08/2014,66.83
BNS,06/08/2014,66.78
BNS,07/08/2014,66.09
BNS,08/08/2014,65.22
BNS,11/08/2014,65.96
BNS,12/08/2014,66.17
BNS,13/08/2014,66.24
BNS,14/08/2014,66.68
BNS,15/08/2014,66.46
BNS,18/08/2014,66.65
BNS,19/08/2014,66.87
BNS,20/08/2014,66.96
BNS,21/08/2014,67.43
BNS,22/08/2014,67.14
BNS,25/08/2014,67.55
BNS,26/08/2014,66.17
BNS,27/08/2014,66.62
BNS,28/08/2014,66.13
BNS,29/08/2014,66.22
BNS,02/09/2014,66.11
BNS,03/09/2014,66.3
BNS,04/09/2014,66.31
BNS,05/09/2014,66.31
BNS,08/09/2014,65.5
BNS,09/09/2014,65.82
BNS,10/09/2014,66.17
BNS,11/09/2014,65.83
BNS,12/09/2014,65.79
BNS,15/09/2014,66.06
BNS,16/09/2014,66.65
BNS,17/09/2014,66.28
BNS,18/09/2014,66.61
BNS,19/09/2014,65.36
BNS,22/09/2014,64.6
