Symbol,Date,Close
L,02/01/2014,47.38
L,03/01/2014,47.26
L,06/01/2014,47.16
L,07/01/2014,47
L,08/01/2014,46.76
L,09/01/2014,46.81
L,10/01/2014,46.86
L,13/01/2014,46.33
L,14/01/2014,46.66
L,15/01/2014,47.19
L,16/01/2014,47.03
L,17/01/2014,47.33
L,21/01/2014,46.98
L,22/01/2014,47.2
L,23/01/2014,46
L,24/01/2014,44.65
L,27/01/2014,44.64
L,28/01/2014,44.94
L,29/01/2014,44.57
L,30/01/2014,45.34
L,31/01/2014,44.59
L,03/02/2014,43.41
L,04/02/2014,44.52
L,05/02/2014,44.53
L,06/02/2014,44.74
L,07/02/2014,45.18
L,10/02/2014,43.26
L,11/02/2014,43.85
L,12/02/2014,43.85
L,13/02/2014,43.99
L,14/02/2014,44.03
L,18/02/2014,43.93
L,19/02/2014,43.35
L,20/02/2014,43.67
L,21/02/2014,43.5
L,24/02/2014,43.58
L,25/02/2014,43.44
L,26/02/2014,43.49
L,27/02/2014,43.56
L,28/02/2014,43.48
L,03/03/2014,43.15
L,04/03/2014,43.89
L,05/03/2014,44.04
L,06/03/2014,44.4
L,07/03/2014,45.05
L,10/03/2014,44.64
L,11/03/2014,44.39
L,12/03/2014,44.7
L,13/03/2014,44.38
L,14/03/2014,43.97
L,17/03/2014,43.97
L,18/03/2014,43.93
L,19/03/2014,43.68
L,20/03/2014,43.91
L,21/03/2014,44.23
L,24/03/2014,43.59
L,25/03/2014,43.59
L,26/03/2014,43.17
L,27/03/2014,43.03
L,28/03/2014,43.42
L,31/03/2014,44.05
L,01/04/2014,44.35
L,02/04/2014,44.65
L,03/04/2014,44.88
L,04/04/2014,44.7
L,07/04/2014,44.15
L,08/04/2014,44.52
L,09/04/2014,44.54
L,10/04/2014,43.92
L,11/04/2014,43.44
L,14/04/2014,43.72
L,15/04/2014,43.78
L,16/04/2014,44.07
L,17/04/2014,43.95
L,21/04/2014,43.84
L,22/04/2014,43.79
L,23/04/2014,43.83
L,24/04/2014,44.44
L,25/04/2014,44.14
L,28/04/2014,43.76
L,29/04/2014,44.1
L,30/04/2014,43.97
L,01/05/2014,44.09
L,02/05/2014,44.1
L,05/05/2014,43.75
L,06/05/2014,43.16
L,07/05/2014,43.85
L,08/05/2014,43.66
L,09/05/2014,43.25
L,12/05/2014,43.31
L,13/05/2014,43.28
L,14/05/2014,42.83
L,15/05/2014,42.56
L,16/05/2014,42.55
L,19/05/2014,42.58
L,20/05/2014,42.48
L,21/05/2014,42.7
L,22/05/2014,42.94
L,23/05/2014,43.16
L,27/05/2014,43.28
L,28/05/2014,43.26
L,29/05/2014,43.27
L,30/05/2014,43.13
L,02/06/2014,43.3
L,03/06/2014,43.49
L,04/06/2014,43.87
L,05/06/2014,43.99
L,06/06/2014,43.98
L,09/06/2014,44.01
L,10/06/2014,43.86
L,11/06/2014,43.54
L,12/06/2014,43.59
L,13/06/2014,43.52
L,16/06/2014,43.23
L,17/06/2014,43.32
L,18/06/2014,43.62
L,19/06/2014,43.78
L,20/06/2014,43.8
L,23/06/2014,43.63
L,24/06/2014,43.73
L,25/06/2014,43.85
L,26/06/2014,43.65
L,27/06/2014,43.8
L,30/06/2014,44.01
L,01/07/2014,44.4
L,02/07/2014,43.73
L,03/07/2014,44.03
L,07/07/2014,44.09
L,08/07/2014,44.05
L,09/07/2014,44.05
L,10/07/2014,43.72
L,11/07/2014,43.61
L,14/07/2014,43.89
L,15/07/2014,44.16
L,16/07/2014,44.25
L,17/07/2014,43.76
L,18/07/2014,44.41
L,21/07/2014,44.3
L,22/07/2014,43.9
L,23/07/2014,44
L,24/07/2014,43.85
L,25/07/2014,43.62
L,28/07/2014,43.47
L,29/07/2014,43.27
L,30/07/2014,43.01
L,31/07/2014,42.13
