Symbol,Date,Close
TD,03/03/2014,45.06
TD,04/03/2014,45.13
TD,05/03/2014,45.59
TD,06/03/2014,45.88
TD,07/03/2014,45.48
TD,10/03/2014,45.92
TD,11/03/2014,46.4
TD,12/03/2014,46.58
TD,13/03/2014,46.54
TD,14/03/2014,46.16
TD,17/03/2014,46.52
TD,18/03/2014,46.43
TD,19/03/2014,45.86
TD,20/03/2014,46.09
TD,21/03/2014,46.03
TD,24/03/2014,46.2
TD,25/03/2014,46.37
TD,26/03/2014,46.5
TD,27/03/2014,46.58
TD,28/03/2014,46.54
TD,31/03/2014,46.95
TD,01/04/2014,46.79
TD,02/04/2014,46.82
TD,03/04/2014,46.72
TD,04/04/2014,46.86
TD,07/04/2014,46.74
TD,08/04/2014,47.28
TD,09/04/2014,47.62
TD,10/04/2014,46.69
TD,11/04/2014,46.45
TD,14/04/2014,46.72
TD,15/04/2014,46.69
TD,16/04/2014,46.87
TD,17/04/2014,47.01
TD,21/04/2014,47
TD,22/04/2014,47
TD,23/04/2014,46.81
TD,24/04/2014,46.95
TD,25/04/2014,46.91
TD,28/04/2014,47
TD,29/04/2014,47.6
TD,30/04/2014,48.09
TD,01/05/2014,47.69
TD,02/05/2014,47.69
TD,05/05/2014,47.67
TD,06/05/2014,47.7
TD,07/05/2014,47.82
TD,08/05/2014,48.24
TD,09/05/2014,47.88
TD,12/05/2014,47.91
TD,13/05/2014,47.96
TD,14/05/2014,48.05
TD,15/05/2014,47.68
TD,16/05/2014,47.51
TD,19/05/2014,47.6
TD,20/05/2014,47.29
TD,21/05/2014,47.53
TD,22/05/2014,48.82
TD,23/05/2014,49.09
TD,27/05/2014,49.61
TD,28/05/2014,49.52
TD,29/05/2014,49.48
TD,30/05/2014,49.59
TD,02/06/2014,49.57
TD,03/06/2014,49.83
TD,04/06/2014,50
TD,05/06/2014,49.9
TD,06/06/2014,50.17
TD,09/06/2014,50.63
TD,10/06/2014,50.45
TD,11/06/2014,50.29
TD,12/06/2014,50.07
TD,13/06/2014,49.92
TD,16/06/2014,50.15
TD,17/06/2014,50.23
TD,18/06/2014,50.57
