Symbol,Date,Close
TSLA,1/2/2018 ,64.11
TSLA,1/3/2018 ,63.45
TSLA,1/4/2018 ,62.92
TSLA,1/5/2018 ,63.32
TSLA,1/8/2018 ,67.28
TSLA,1/9/2018 ,66.74
TSLA,1/10/2018,66.96
TSLA,1/11/2018,67.59
TSLA,1/12/2018,67.24
TSLA,1/16/2018,68.01
TSLA,1/17/2018,69.43
TSLA,1/18/2018,68.91
TSLA,1/19/2018,70
TSLA,1/22/2018,70.31
TSLA,1/23/2018,70.56
TSLA,1/24/2018,69.18
TSLA,1/25/2018,67.53
TSLA,1/26/2018,68.57
TSLA,1/29/2018,69.91
TSLA,1/30/2018,69.16
TSLA,1/31/2018,70.86
TSLA,2/1/2018 ,69.85
TSLA,2/2/2018 ,68.75
TSLA,2/5/2018 ,66.63
TSLA,2/6/2018 ,66.79
TSLA,2/7/2018 ,69
TSLA,2/8/2018 ,63.05
TSLA,2/9/2018 ,62.08
TSLA,2/12/2018,63.15
TSLA,2/13/2018,64.73
TSLA,2/14/2018,64.46
TSLA,2/15/2018,66.81
TSLA,2/16/2018,67.1
TSLA,2/20/2018,66.95
TSLA,2/21/2018,66.66
TSLA,2/22/2018,69.23
TSLA,2/23/2018,70.41
TSLA,2/26/2018,71.48
TSLA,2/27/2018,70.2
TSLA,2/28/2018,68.61
TSLA,3/1/2018 ,66.19
TSLA,3/2/2018 ,67.02
TSLA,3/5/2018 ,66.67
TSLA,3/6/2018 ,65.64
TSLA,3/7/2018 ,66.46
TSLA,3/8/2018 ,65.82
TSLA,3/9/2018 ,65.43
TSLA,3/12/2018,69.1
TSLA,3/13/2018,68.37
TSLA,3/14/2018,65.33
TSLA,3/15/2018,65.12
TSLA,3/16/2018,64.27
TSLA,3/19/2018,62.71
TSLA,3/20/2018,62.11
TSLA,3/21/2018,63.31
TSLA,3/22/2018,61.82
TSLA,3/23/2018,60.31
TSLA,3/26/2018,60.84
TSLA,3/27/2018,55.84
TSLA,3/28/2018,51.56
TSLA,3/29/2018,53.23
